data_id,country,crop,plant_start,plant_end,plant_range,harvest_start,harvest_end,harvest_range,temp_average,precip_average
1,Albania,Wheat,289,349,61,121,181,61,13.2985334102017,93.9236063004026
2,Albania,Maize,106,167,62,228,304,77,12.5990067414762,94.8232089564096
4,Albania,Pulses,106,177,72,197,243,47,13.0168758449559,93.8169725466681
5,Albania,Other,289,340,52,45,105,61,NA,NA
6,Albania,Other,106,137,32,229,288,60,NA,NA
7,Albania,Other,46,75,30,244,304,61,NA,NA
8,Albania,Potatoes,46,106,61,137,257,121,11.5929559790796,92.5487446137565
9,Albania,Multiple,305,120,181,142,304,163,NA,NA
10,Algeria,Wheat,284,20,102,161,233,73,15.7388342876275,43.3826252010722
11,Algeria,Barley,284,20,102,162,202,41,15.5364456227658,41.3015529230417
12,Algeria,Rice,72,173,102,254,294,41,16.0146533437164,46.156466576499
13,Algeria,Sorghum,284,20,102,162,233,72,15.6408875183607,69.1464709991907
14,Algeria,Sugarbeets,41,81,41,193,233,41,NA,NA
15,Angola,Wheat,121,151,31,274,304,31,21.4199394939949,99.2179471937609
16,Angola,Maize,244,319,76,60,120,61,20.0120022030338,96.970165252592
17,Angola,Rice,284,355,72,71,141,71,21.4024768166963,98.9199950899342
18,Angola,Potatoes,223,263,41,10,141,132,21.4010117333217,99.0177134897521
19,Angola,Millet,305,365,61,121,181,61,21.4082423497156,99.0980937845655
20,Angola,Sorghum,305,16,77,121,181,61,22.5991809009322,58.0466588676683
22,Argentina,Barley,163,263,101,314,19,71,15.3323192125963,67.2480994660332
25,Argentina,Millet,254,349,96,349,141,158,17.0681392895245,70.2404165591542
31,Armenia,Wheat,213,304,92,121,212,92,7.43351244947371,43.1510452110322
32,Armenia,Multiple,91,181,91,213,273,61,NA,NA
33,Azerbaijan,Multiple,305,365,61,152,212,61,NA,NA
34,Azerbaijan,Multiple,60,120,61,182,243,62,NA,NA
35,Azerbaijan,Cotton,91,120,30,244,304,61,13.2594526280719,40.6556583645121
36,Azerbaijan,Potatoes,91,151,61,213,273,61,13.2596792988884,40.6549170261019
37,Azerbaijan,Potatoes,32,90,59,152,212,61,NA,NA
41,Bangladesh,Wheat,315,11,62,81,120,40,25.5140171738045,168.662544710983
42,Bangladesh,Sorghum,132,283,152,324,365,42,25.4984241670784,184.095269587932
43,Bangladesh,Potatoes,274,365,92,80,141,62,25.4905412540738,184.346214283904
44,Belarus,Multiple,227,304,78,182,227,46,NA,NA
45,Belarus,Rye,227,263,37,187,227,41,6.10698751788047,51.9808246857754
46,Belarus,Multiple,91,181,91,182,273,92,NA,NA
47,Belarus,Barley,91,151,61,218,278,61,6.10636089005972,51.980695510619
48,Benin,Millet,121,212,92,274,334,61,27.8695140492533,84.1327653126002
49,Benin,Maize,60,120,61,213,273,61,27.4213795156405,91.4118472550371
50,Benin,Maize,213,273,61,335,31,62,27.4217703980585,91.4011523113006
51,Benin,Sorghum,121,212,92,274,334,61,27.6824016182169,86.2059657023002
52,Benin,Rice,91,151,61,213,273,61,27.8570525516121,85.7298104760895
53,Benin,Rice,121,212,92,305,365,61,NA,NA
54,Benin,Cassava,121,181,61,335,31,62,27.3905708127579,91.4526268328916
55,Benin,Yams,32,90,59,182,31,215,27.3905802017503,90.5184648285226
56,Bolivia,Wheat,315,354,40,101,172,72,18.694701245362,73.5066280475648
57,Bolivia,Barley,284,354,71,71,141,71,21.3379215519168,80.3312060238689
58,Bolivia,Maize,254,325,72,70,141,72,19.2445959742528,72.6134131783175
59,Bolivia,Rice,305,334,30,70,141,72,23.5402941802975,93.2005338839142
60,Bolivia,Soybeans,305,334,30,101,141,41,24.8702031019606,88.994807072258
61,Bolivia,Potatoes,223,325,103,70,140,71,13.8392975451567,59.2645177948327
62,Bolivia,Sweet.Potatoes,335,365,31,132,232,101,21.3711389573103,80.3793047272062
63,Botswana,Wheat,121,151,31,274,304,31,20.81302683416,35.0785891854268
64,Botswana,Maize,319,31,78,106,166,61,20.8029397073926,38.3309445720957
65,Botswana,Millet,314,355,42,131,171,41,21.323904264719,37.8877986152117
66,Botswana,Sorghum,335,31,62,121,181,61,20.8254627517714,36.4040886788598
72,Brazil,Sorghum,284,81,163,102,233,132,23.3327773182654,122.553121777797
73,Brazil,Barley,131,202,72,284,355,72,18.3189958842707,142.628487316824
79,Burkina Faso,Millet,121,212,92,244,365,122,28.9981593070306,60.3203139445129
