Site,Year,Date,Plot,Location,Snow_cover,Water_cover,Land_cover,Total_cover,Observer,Notes
barr,2011,2011-05-29,brw1,b10,90.0,0.0,10.0,100.0,adoll,
barr,2011,2011-05-29,brw1,b12,100.0,0.0,0.0,100.0,adoll,
barr,2011,2011-05-29,brw1,b2,90.0,0.0,10.0,100.0,adoll,
barr,2011,2011-05-29,brw1,b4,100.0,0.0,0.0,100.0,adoll,
barr,2011,2011-05-29,brw1,b6,95.0,0.0,5.0,100.0,adoll,
barr,2011,2011-05-29,brw1,b8,95.0,0.0,5.0,100.0,adoll,
barr,2011,2011-05-29,brw1,d10,95.0,0.0,5.0,100.0,adoll,
barr,2011,2011-05-29,brw1,d12,90.0,0.0,10.0,100.0,adoll,
barr,2011,2011-05-29,brw1,d2,95.0,0.0,5.0,100.0,adoll,
barr,2011,2011-05-29,brw1,d4,95.0,0.0,5.0,100.0,adoll,
barr,2011,2011-05-29,brw1,d6,90.0,0.0,0.0,90.0,adoll,
barr,2011,2011-05-29,brw1,d8,90.0,0.0,10.0,100.0,adoll,
barr,2011,2011-05-29,brw1,f10,95.0,0.0,5.0,100.0,adoll,
barr,2011,2011-05-29,brw1,f12,90.0,0.0,10.0,100.0,adoll,
barr,2011,2011-05-29,brw1,f2,80.0,0.0,20.0,100.0,adoll,
barr,2011,2011-05-29,brw1,f4,90.0,0.0,10.0,100.0,adoll,
barr,2011,2011-05-29,brw1,f6,95.0,0.0,5.0,100.0,adoll,
barr,2011,2011-05-29,brw1,f8,90.0,0.0,10.0,100.0,adoll,
barr,2011,2011-05-29,brw1,h10,95.0,0.0,5.0,100.0,adoll,
barr,2011,2011-05-29,brw1,h12,80.0,15.0,15.0,110.0,adoll,
barr,2011,2011-05-29,brw1,h2,90.0,0.0,10.0,100.0,adoll,
barr,2011,2011-05-29,brw1,h4,90.0,5.0,5.0,100.0,adoll,
barr,2011,2011-05-29,brw1,h6,90.0,0.0,10.0,100.0,adoll,
barr,2011,2011-05-29,brw1,h8,95.0,0.0,0.0,95.0,adoll,
barr,2011,2011-05-29,brw1,j10,100.0,0.0,0.0,100.0,adoll,
barr,2011,2011-05-29,brw1,j12,90.0,5.0,5.0,100.0,adoll,
barr,2011,2011-05-29,brw1,j2,70.0,0.0,30.0,100.0,adoll,
barr,2011,2011-05-29,brw1,j4,90.0,0.0,10.0,100.0,adoll,
barr,2011,2011-05-29,brw1,j6,85.0,10.0,10.0,105.0,adoll,
barr,2011,2011-05-29,brw1,j8,95.0,0.0,5.0,100.0,adoll,
barr,2011,2011-05-29,brw1,l10,95.0,0.0,5.0,100.0,adoll,
barr,2011,2011-05-29,brw1,l12,95.0,0.0,0.0,95.0,adoll,
barr,2011,2011-05-29,brw1,l2,0.0,50.0,50.0,100.0,adoll,
barr,2011,2011-05-29,brw1,l4,85.0,0.0,15.0,100.0,adoll,
barr,2011,2011-05-29,brw1,l6,90.0,0.0,10.0,100.0,adoll,
barr,2011,2011-05-29,brw1,l8,85.0,0.0,15.0,100.0,adoll,
barr,2011,2011-05-29,brw2,b10,90.0,0.0,10.0,100.0,adoll,
barr,2011,2011-05-29,brw2,b12,95.0,0.0,5.0,100.0,adoll,
barr,2011,2011-05-29,brw2,b4,40.0,0.0,60.0,100.0,adoll,
barr,2011,2011-05-29,brw2,b6,0.0,50.0,50.0,100.0,adoll,
barr,2011,2011-05-29,brw2,b8,60.0,0.0,40.0,100.0,adoll,
barr,2011,2011-05-29,brw2,d10,0.0,50.0,50.0,100.0,adoll,
barr,2011,2011-05-29,brw2,d8,40.0,0.0,60.0,100.0,adoll,
barr,2011,2011-05-29,brw2,f12,30.0,0.0,70.0,100.0,adoll,
barr,2011,2011-05-29,brw2,f2,65.0,0.0,35.0,100.0,adoll,
barr,2011,2011-05-29,brw2,f4,20.0,0.0,80.0,100.0,adoll,
barr,2011,2011-05-29,brw2,f6,20.0,0.0,80.0,100.0,adoll,
barr,2011,2011-05-29,brw2,f8,40.0,0.0,60.0,100.0,adoll,
barr,2011,2011-05-29,brw2,h10,60.0,0.0,40.0,100.0,adoll,
barr,2011,2011-05-29,brw2,h12,90.0,0.0,10.0,100.0,adoll,
barr,2011,2011-05-29,brw2,h6,30.0,0.0,70.0,100.0,adoll,
barr,2011,2011-05-29,brw2,j10,80.0,0.0,20.0,100.0,adoll,
barr,2011,2011-05-29,brw2,j12,80.0,0.0,20.0,100.0,adoll,
barr,2011,2011-05-29,brw2,j2,70.0,25.0,25.0,120.0,adoll,
barr,2011,2011-05-29,brw2,j4,40.0,0.0,60.0,100.0,adoll,
barr,2011,2011-05-29,brw2,j8,60.0,0.0,40.0,100.0,adoll,
barr,2011,2011-05-29,brw2,l10,75.0,20.0,20.0,115.0,adoll,
barr,2011,2011-05-29,brw2,l12,60.0,0.0,40.0,100.0,adoll,
barr,2011,2011-05-29,brw2,l2,60.0,30.0,30.0,120.0,adoll,
barr,2011,2011-05-29,brw2,l6,0.0,50.0,50.0,100.0,adoll,
barr,2011,2011-05-29,brw2,l8,60.0,0.0,40.0,100.0,adoll,
barr,2011,2011-05-29,brw6,b12,70.0,0.0,30.0,100.0,adoll,
barr,2011,2011-05-29,brw6,b2,80.0,0.0,20.0,100.0,adoll,
barr,2011,2011-05-29,brw6,b4,90.0,0.0,10.0,100.0,adoll,
barr,2011,2011-05-29,brw6,b6,95.0,0.0,5.0,100.0,adoll,
barr,2011,2011-05-29,brw6,d8,60.0,20.0,20.0,100.0,adoll,
barr,2011,2011-05-29,brw6,f12,0.0,50.0,50.0,100.0,adoll,
barr,2011,2011-05-29,brw6,h6,0.0,0.0,100.0,100.0,adoll,
barr,2011,2011-05-29,brw6,h8,90.0,0.0,10.0,100.0,adoll,
barr,2011,2011-05-29,brw6,j10,60.0,10.0,10.0,80.0,adoll,
barr,2011,2011-05-29,brw6,l10,100.0,0.0,0.0,100.0,adoll,
barr,2011,2011-05-29,brw6,l12,40.0,0.0,60.0,100.0,adoll,
